#logMsmin    logMsmax    logSFRmin    logSFRmax    Prob
10.25  10.5  -0.7727272727272725  -0.40909090909090917  0.0
10.25  10.5  -0.7727272727272725  -0.40909090909090917  0.0
10.25  10.5  -0.7727272727272725  -0.40909090909090917  0.0
10.25  10.5  -0.7727272727272725  -0.40909090909090917  0.010767219668132384
10.25  10.5  -0.7727272727272725  -0.40909090909090917  0.0
10.25  10.5  -0.7727272727272725  -0.40909090909090917  0.0
10.25  10.5  -0.7727272727272725  -0.40909090909090917  0.008692247607400382
10.25  10.5  -0.7727272727272725  -0.40909090909090917  0.02557204243487488
10.25  10.5  -0.7727272727272725  -0.40909090909090917  0.021362312868080217
10.25  10.5  -0.7727272727272725  -0.40909090909090917  0.03569135471872616
10.25  10.5  -0.7727272727272725  -0.40909090909090917  0.0
10.25  10.5  -0.7727272727272725  -0.40909090909090917  0.0
10.25  10.5  -0.7727272727272725  -0.40909090909090917  0.0
10.5  10.75  -0.40909090909090917  -0.04545454545454497  0.0
10.5  10.75  -0.40909090909090917  -0.04545454545454497  0.0
10.5  10.75  -0.40909090909090917  -0.04545454545454497  0.0
10.5  10.75  -0.40909090909090917  -0.04545454545454497  0.0
10.5  10.75  -0.40909090909090917  -0.04545454545454497  0.0
10.5  10.75  -0.40909090909090917  -0.04545454545454497  0.0
10.5  10.75  -0.40909090909090917  -0.04545454545454497  0.0
10.5  10.75  -0.40909090909090917  -0.04545454545454497  0.0
10.5  10.75  -0.40909090909090917  -0.04545454545454497  0.0
10.5  10.75  -0.40909090909090917  -0.04545454545454497  0.0
10.5  10.75  -0.40909090909090917  -0.04545454545454497  0.0
10.5  10.75  -0.40909090909090917  -0.04545454545454497  0.0
10.5  10.75  -0.40909090909090917  -0.04545454545454497  0.0
10.5  10.75  -0.40909090909090917  -0.04545454545454497  0.0
10.5  10.75  -0.40909090909090917  -0.04545454545454497  0.01773820259368727
10.5  10.75  -0.40909090909090917  -0.04545454545454497  0.0
10.5  10.75  -0.40909090909090917  -0.04545454545454497  0.03717709255315274
10.5  10.75  -0.40909090909090917  -0.04545454545454497  0.06892705702947534
10.5  10.75  -0.40909090909090917  -0.04545454545454497  0.06501903540772143
10.5  10.75  -0.40909090909090917  -0.04545454545454497  0.0
10.5  10.75  -0.40909090909090917  -0.04545454545454497  0.0
10.75  11.0  -0.04545454545454497  0.31818181818181834  0.0
10.75  11.0  -0.04545454545454497  0.31818181818181834  0.0
10.75  11.0  -0.04545454545454497  0.31818181818181834  0.0
10.75  11.0  -0.04545454545454497  0.31818181818181834  0.0
10.75  11.0  -0.04545454545454497  0.31818181818181834  0.0
10.75  11.0  -0.04545454545454497  0.31818181818181834  0.0
10.75  11.0  -0.04545454545454497  0.31818181818181834  0.0
10.75  11.0  -0.04545454545454497  0.31818181818181834  0.0
10.75  11.0  -0.04545454545454497  0.31818181818181834  0.0
10.75  11.0  -0.04545454545454497  0.31818181818181834  0.0
10.75  11.0  -0.04545454545454497  0.31818181818181834  0.0
10.75  11.0  -0.04545454545454497  0.31818181818181834  0.0
10.75  11.0  -0.04545454545454497  0.31818181818181834  0.0
10.75  11.0  -0.04545454545454497  0.31818181818181834  0.0
10.75  11.0  -0.04545454545454497  0.31818181818181834  0.0
10.75  11.0  -0.04545454545454497  0.31818181818181834  0.0
10.75  11.0  -0.04545454545454497  0.31818181818181834  0.0
10.75  11.0  -0.04545454545454497  0.31818181818181834  0.035827887991551066
10.75  11.0  -0.04545454545454497  0.31818181818181834  0.0
10.75  11.0  -0.04545454545454497  0.31818181818181834  0.0
10.75  11.0  -0.04545454545454497  0.31818181818181834  0.0
11.0  11.25  0.31818181818181834  0.6818181818181817  0.0
11.0  11.25  0.31818181818181834  0.6818181818181817  0.0
11.0  11.25  0.31818181818181834  0.6818181818181817  0.0
11.0  11.25  0.31818181818181834  0.6818181818181817  0.0
11.0  11.25  0.31818181818181834  0.6818181818181817  0.0
11.0  11.25  0.31818181818181834  0.6818181818181817  0.0
11.0  11.25  0.31818181818181834  0.6818181818181817  0.0
11.0  11.25  0.31818181818181834  0.6818181818181817  0.0
11.0  11.25  0.31818181818181834  0.6818181818181817  0.0
11.0  11.25  0.31818181818181834  0.6818181818181817  0.0
11.0  11.25  0.31818181818181834  0.6818181818181817  0.0
11.0  11.25  0.31818181818181834  0.6818181818181817  0.0
11.0  11.25  0.31818181818181834  0.6818181818181817  0.0
11.0  11.25  0.31818181818181834  0.6818181818181817  0.0
11.0  11.25  0.31818181818181834  0.6818181818181817  0.0
11.0  11.25  0.31818181818181834  0.6818181818181817  0.0
11.0  11.25  0.31818181818181834  0.6818181818181817  0.0
11.0  11.25  0.31818181818181834  0.6818181818181817  0.0
11.0  11.25  0.31818181818181834  0.6818181818181817  0.0
11.0  11.25  0.31818181818181834  0.6818181818181817  0.0
11.0  11.25  0.31818181818181834  0.6818181818181817  0.0
11.25  11.5  0.6818181818181817  1.0454545454545459  0.0
11.25  11.5  0.6818181818181817  1.0454545454545459  0.0
11.25  11.5  0.6818181818181817  1.0454545454545459  0.0
11.25  11.5  0.6818181818181817  1.0454545454545459  0.0
11.25  11.5  0.6818181818181817  1.0454545454545459  0.0
11.25  11.5  0.6818181818181817  1.0454545454545459  0.0
11.25  11.5  0.6818181818181817  1.0454545454545459  0.0
11.25  11.5  0.6818181818181817  1.0454545454545459  0.0
11.25  11.5  0.6818181818181817  1.0454545454545459  0.0
11.25  11.5  0.6818181818181817  1.0454545454545459  0.0
11.25  11.5  0.6818181818181817  1.0454545454545459  0.0
11.25  11.5  0.6818181818181817  1.0454545454545459  0.0
11.25  11.5  0.6818181818181817  1.0454545454545459  0.0
11.25  11.5  0.6818181818181817  1.0454545454545459  0.0
11.25  11.5  0.6818181818181817  1.0454545454545459  0.0
11.25  11.5  0.6818181818181817  1.0454545454545459  0.0
11.25  11.5  0.6818181818181817  1.0454545454545459  0.0
11.25  11.5  0.6818181818181817  1.0454545454545459  0.0
11.25  11.5  0.6818181818181817  1.0454545454545459  0.0
11.25  11.5  0.6818181818181817  1.0454545454545459  0.0
11.25  11.5  0.6818181818181817  1.0454545454545459  0.0
11.5  11.75  1.0454545454545459  1.4090909090909092  0.0
11.5  11.75  1.0454545454545459  1.4090909090909092  0.0
11.5  11.75  1.0454545454545459  1.4090909090909092  0.0
11.5  11.75  1.0454545454545459  1.4090909090909092  0.0
11.5  11.75  1.0454545454545459  1.4090909090909092  0.0
11.5  11.75  1.0454545454545459  1.4090909090909092  0.0
11.5  11.75  1.0454545454545459  1.4090909090909092  0.0
11.5  11.75  1.0454545454545459  1.4090909090909092  0.0
11.5  11.75  1.0454545454545459  1.4090909090909092  0.0
11.5  11.75  1.0454545454545459  1.4090909090909092  0.0
11.5  11.75  1.0454545454545459  1.4090909090909092  0.0
11.5  11.75  1.0454545454545459  1.4090909090909092  0.0
11.5  11.75  1.0454545454545459  1.4090909090909092  0.0
11.5  11.75  1.0454545454545459  1.4090909090909092  0.0
11.5  11.75  1.0454545454545459  1.4090909090909092  0.0
11.5  11.75  1.0454545454545459  1.4090909090909092  0.0
11.5  11.75  1.0454545454545459  1.4090909090909092  0.0
11.5  11.75  1.0454545454545459  1.4090909090909092  0.0
11.5  11.75  1.0454545454545459  1.4090909090909092  0.0
11.5  11.75  1.0454545454545459  1.4090909090909092  0.0
11.5  11.75  1.0454545454545459  1.4090909090909092  0.0
11.75  12.0  1.4090909090909092  1.7727272727272734  0.0
11.75  12.0  1.4090909090909092  1.7727272727272734  0.0
11.75  12.0  1.4090909090909092  1.7727272727272734  0.0
11.75  12.0  1.4090909090909092  1.7727272727272734  0.0
11.75  12.0  1.4090909090909092  1.7727272727272734  0.0
11.75  12.0  1.4090909090909092  1.7727272727272734  0.0
11.75  12.0  1.4090909090909092  1.7727272727272734  0.0
11.75  12.0  1.4090909090909092  1.7727272727272734  0.0
11.75  12.0  1.4090909090909092  1.7727272727272734  0.0
11.75  12.0  1.4090909090909092  1.7727272727272734  0.0
11.75  12.0  1.4090909090909092  1.7727272727272734  0.0
11.75  12.0  1.4090909090909092  1.7727272727272734  0.0
11.75  12.0  1.4090909090909092  1.7727272727272734  0.0
11.75  12.0  1.4090909090909092  1.7727272727272734  0.0
11.75  12.0  1.4090909090909092  1.7727272727272734  0.0
11.75  12.0  1.4090909090909092  1.7727272727272734  0.0
11.75  12.0  1.4090909090909092  1.7727272727272734  0.0
11.75  12.0  1.4090909090909092  1.7727272727272734  0.0
11.75  12.0  1.4090909090909092  1.7727272727272734  0.0
11.75  12.0  1.4090909090909092  1.7727272727272734  0.0
11.75  12.0  1.4090909090909092  1.7727272727272734  0.0
12.0  12.25  1.7727272727272734  2.1363636363636367  0.0
12.0  12.25  1.7727272727272734  2.1363636363636367  0.0
12.0  12.25  1.7727272727272734  2.1363636363636367  0.0
12.0  12.25  1.7727272727272734  2.1363636363636367  0.0
12.0  12.25  1.7727272727272734  2.1363636363636367  0.0
12.0  12.25  1.7727272727272734  2.1363636363636367  0.0
12.0  12.25  1.7727272727272734  2.1363636363636367  0.0
12.0  12.25  1.7727272727272734  2.1363636363636367  0.0
12.0  12.25  1.7727272727272734  2.1363636363636367  0.0
12.0  12.25  1.7727272727272734  2.1363636363636367  0.0
12.0  12.25  1.7727272727272734  2.1363636363636367  0.0
12.0  12.25  1.7727272727272734  2.1363636363636367  0.0
12.0  12.25  1.7727272727272734  2.1363636363636367  0.0
12.0  12.25  1.7727272727272734  2.1363636363636367  0.0
12.0  12.25  1.7727272727272734  2.1363636363636367  0.0
12.0  12.25  1.7727272727272734  2.1363636363636367  0.0
12.0  12.25  1.7727272727272734  2.1363636363636367  0.0
12.0  12.25  1.7727272727272734  2.1363636363636367  0.0
12.0  12.25  1.7727272727272734  2.1363636363636367  0.0
12.0  12.25  1.7727272727272734  2.1363636363636367  0.0
12.0  12.25  1.7727272727272734  2.1363636363636367  0.0
